"","id","party","instrument","time","value","type"
"10",1,"BANKS","TOTAL","2015-Q2",32400,1
"29",3,"NON-BANKS","TOTAL","2015-Q2",10370,3
"104",4,"NON-FINANCIAL COMPANIES","TOTAL","2015-Q2",180,3
"179",2,"GOVERNMENT","TOTAL","2015-Q2",5153,3
"254",6,"HOUSEHOLDS","TOTAL","2015-Q2",22069,3
"273",7,"BONDS","TOTAL","2015-Q2",1000,2
"292",8,"EQUITIES","TOTAL","2015-Q2",1000,2
"311",11,"LOANS","TOTAL","2015-Q2",1000,2
"386",12,"NET INVESTMENTS","TOTAL","2015-Q2",30245,4
"405",14,"IF SHARES","TOTAL","2015-Q2",1000,2
"417",0,"ECB","TOTAL","2015-Q2",301,1
