"","id","party","instrument","time","value","type"
"20",1,"BANKS","TOTAL","2011-Q4",34236,1
"63",3,"NON-BANKS","TOTAL","2011-Q4",6230,3
"138",4,"NON-FINANCIAL COMPANIES","TOTAL","2011-Q4",189,3
"213",2,"GOVERNMENT","TOTAL","2011-Q4",4066,3
"288",6,"HOUSEHOLDS","TOTAL","2011-Q4",18972,3
"331",7,"BONDS","TOTAL","2011-Q4",1000,2
"374",8,"EQUITIES","TOTAL","2011-Q4",1000,2
"417",11,"LOANS","TOTAL","2011-Q4",1000,2
"492",12,"NET INVESTMENTS","TOTAL","2011-Q4",30850,4
"535",14,"IF SHARES","TOTAL","2011-Q4",1000,2
