"","id","party","instrument","time","value","type"
"22",1,"BANKS","TOTAL","2012-Q2",35707,1
"65",3,"NON-BANKS","TOTAL","2012-Q2",6722,3
"140",4,"NON-FINANCIAL COMPANIES","TOTAL","2012-Q2",26,3
"215",2,"GOVERNMENT","TOTAL","2012-Q2",4457,3
"290",6,"HOUSEHOLDS","TOTAL","2012-Q2",19351,3
"333",7,"BONDS","TOTAL","2012-Q2",1000,2
"376",8,"EQUITIES","TOTAL","2012-Q2",1000,2
"419",11,"LOANS","TOTAL","2012-Q2",1000,2
"494",12,"NET INVESTMENTS","TOTAL","2012-Q2",30481,4
"537",14,"IF SHARES","TOTAL","2012-Q2",1000,2
