"","id","party","instrument","time","value","type"
"17",1,"BANKS","TOTAL","2017-Q1",35490,1
"36",3,"NON-BANKS","TOTAL","2017-Q1",11691,3
"111",4,"NON-FINANCIAL COMPANIES","TOTAL","2017-Q1",283,3
"186",2,"GOVERNMENT","TOTAL","2017-Q1",5230,3
"261",6,"HOUSEHOLDS","TOTAL","2017-Q1",23268,3
"280",7,"BONDS","TOTAL","2017-Q1",1000,2
"299",8,"EQUITIES","TOTAL","2017-Q1",1000,2
"318",11,"LOANS","TOTAL","2017-Q1",1000,2
"393",12,"NET INVESTMENTS","TOTAL","2017-Q1",32302,4
"412",14,"IF SHARES","TOTAL","2017-Q1",1000,2
"424",0,"ECB","TOTAL","2017-Q1",1771,1
