"","id","party","instrument","time","value","type"
"2",1,"BANKS","TOTAL","2007-Q2",28187,1
"45",3,"NON-BANKS","TOTAL","2007-Q2",6355,3
"120",4,"NON-FINANCIAL COMPANIES","TOTAL","2007-Q2",206,3
"195",2,"GOVERNMENT","TOTAL","2007-Q2",3334,3
"270",6,"HOUSEHOLDS","TOTAL","2007-Q2",18635,3
"313",7,"BONDS","TOTAL","2007-Q2",1000,2
"356",8,"EQUITIES","TOTAL","2007-Q2",1000,2
"399",11,"LOANS","TOTAL","2007-Q2",1000,2
"474",12,"NET INVESTMENTS","TOTAL","2007-Q2",29425,4
"517",14,"IF SHARES","TOTAL","2007-Q2",1000,2
