"","id","party","instrument","time","value","type"
"37",1,"BANKS","TOTAL","2016-Q1",32997,1
"80",3,"NON-BANKS","TOTAL","2016-Q1",10320,3
"155",4,"NON-FINANCIAL COMPANIES","TOTAL","2016-Q1",182,3
"230",2,"GOVERNMENT","TOTAL","2016-Q1",5151,3
"305",6,"HOUSEHOLDS","TOTAL","2016-Q1",22353,3
"348",7,"BONDS","TOTAL","2016-Q1",1000,2
"391",8,"EQUITIES","TOTAL","2016-Q1",1000,2
"434",11,"LOANS","TOTAL","2016-Q1",1000,2
"509",12,"NET INVESTMENTS","TOTAL","2016-Q1",30889,4
"552",14,"IF SHARES","TOTAL","2016-Q1",1000,2
"564",0,"ECB","TOTAL","2016-Q1",832,1
