"","id","party","instrument","time","value","type"
"5",1,"BANKS","TOTAL","2014-Q1",31660,1
"24",3,"NON-BANKS","TOTAL","2014-Q1",8328,3
"99",4,"NON-FINANCIAL COMPANIES","TOTAL","2014-Q1",9,3
"174",2,"GOVERNMENT","TOTAL","2014-Q1",4933,3
"249",6,"HOUSEHOLDS","TOTAL","2014-Q1",20821,3
"268",7,"BONDS","TOTAL","2014-Q1",1000,2
"287",8,"EQUITIES","TOTAL","2014-Q1",1000,2
"306",11,"LOANS","TOTAL","2014-Q1",1000,2
"381",12,"NET INVESTMENTS","TOTAL","2014-Q1",29503,4
"400",14,"IF SHARES","TOTAL","2014-Q1",1000,2
