"","id","party","instrument","time","value","type"
"5",1,"BANKS","TOTAL","2008-Q1",30549,1
"48",3,"NON-BANKS","TOTAL","2008-Q1",5515,3
"123",4,"NON-FINANCIAL COMPANIES","TOTAL","2008-Q1",115,3
"198",2,"GOVERNMENT","TOTAL","2008-Q1",3322,3
"273",6,"HOUSEHOLDS","TOTAL","2008-Q1",18223,3
"316",7,"BONDS","TOTAL","2008-Q1",1000,2
"359",8,"EQUITIES","TOTAL","2008-Q1",1000,2
"402",11,"LOANS","TOTAL","2008-Q1",1000,2
"477",12,"NET INVESTMENTS","TOTAL","2008-Q1",30683,4
"520",14,"IF SHARES","TOTAL","2008-Q1",1000,2
