"","id","party","instrument","time","value","type"
"2",1,"BANKS","TOTAL","2013-Q2",33088,1
"21",3,"NON-BANKS","TOTAL","2013-Q2",7593,3
"96",4,"NON-FINANCIAL COMPANIES","TOTAL","2013-Q2",20,3
"171",2,"GOVERNMENT","TOTAL","2013-Q2",4809,3
"246",6,"HOUSEHOLDS","TOTAL","2013-Q2",20005,3
"265",7,"BONDS","TOTAL","2013-Q2",1000,2
"284",8,"EQUITIES","TOTAL","2013-Q2",1000,2
"303",11,"LOANS","TOTAL","2013-Q2",1000,2
"378",12,"NET INVESTMENTS","TOTAL","2013-Q2",29658,4
"397",14,"IF SHARES","TOTAL","2013-Q2",1000,2
