"","id","party","instrument","time","value","type"
"3",1,"BANKS","TOTAL","2007-Q3",28656,1
"46",3,"NON-BANKS","TOTAL","2007-Q3",6256,3
"121",4,"NON-FINANCIAL COMPANIES","TOTAL","2007-Q3",214,3
"196",2,"GOVERNMENT","TOTAL","2007-Q3",3300,3
"271",6,"HOUSEHOLDS","TOTAL","2007-Q3",18430,3
"314",7,"BONDS","TOTAL","2007-Q3",1000,2
"357",8,"EQUITIES","TOTAL","2007-Q3",1000,2
"400",11,"LOANS","TOTAL","2007-Q3",1000,2
"475",12,"NET INVESTMENTS","TOTAL","2007-Q3",30100,4
"518",14,"IF SHARES","TOTAL","2007-Q3",1000,2
