"","id","party","instrument","time","value","type"
"7",1,"BANKS","TOTAL","2008-Q3",32026,1
"50",3,"NON-BANKS","TOTAL","2008-Q3",5054,3
"125",4,"NON-FINANCIAL COMPANIES","TOTAL","2008-Q3",125,3
"200",2,"GOVERNMENT","TOTAL","2008-Q3",3346,3
"275",6,"HOUSEHOLDS","TOTAL","2008-Q3",17986,3
"318",7,"BONDS","TOTAL","2008-Q3",1000,2
"361",8,"EQUITIES","TOTAL","2008-Q3",1000,2
"404",11,"LOANS","TOTAL","2008-Q3",1000,2
"479",12,"NET INVESTMENTS","TOTAL","2008-Q3",30883,4
"522",14,"IF SHARES","TOTAL","2008-Q3",1000,2
