"","id","party","instrument","time","value","type"
"21",1,"BANKS","TOTAL","2012-Q1",35297,1
"64",3,"NON-BANKS","TOTAL","2012-Q1",6697,3
"139",4,"NON-FINANCIAL COMPANIES","TOTAL","2012-Q1",7,3
"214",2,"GOVERNMENT","TOTAL","2012-Q1",4262,3
"289",6,"HOUSEHOLDS","TOTAL","2012-Q1",19348,3
"332",7,"BONDS","TOTAL","2012-Q1",1000,2
"375",8,"EQUITIES","TOTAL","2012-Q1",1000,2
"418",11,"LOANS","TOTAL","2012-Q1",1000,2
"493",12,"NET INVESTMENTS","TOTAL","2012-Q1",30585,4
"536",14,"IF SHARES","TOTAL","2012-Q1",1000,2
