"","id","party","instrument","time","value","type"
"4",1,"BANKS","TOTAL","2007-Q4",30006,1
"47",3,"NON-BANKS","TOTAL","2007-Q4",6145,3
"122",4,"NON-FINANCIAL COMPANIES","TOTAL","2007-Q4",394,3
"197",2,"GOVERNMENT","TOTAL","2007-Q4",3365,3
"272",6,"HOUSEHOLDS","TOTAL","2007-Q4",18614,3
"315",7,"BONDS","TOTAL","2007-Q4",1000,2
"358",8,"EQUITIES","TOTAL","2007-Q4",1000,2
"401",11,"LOANS","TOTAL","2007-Q4",1000,2
"476",12,"NET INVESTMENTS","TOTAL","2007-Q4",30367,4
"519",14,"IF SHARES","TOTAL","2007-Q4",1000,2
