"","id","party","instrument","time","value","type"
"9",1,"BANKS","TOTAL","2009-Q1",32032,1
"52",3,"NON-BANKS","TOTAL","2009-Q1",4320,3
"127",4,"NON-FINANCIAL COMPANIES","TOTAL","2009-Q1",-81,3
"202",2,"GOVERNMENT","TOTAL","2009-Q1",3577,3
"277",6,"HOUSEHOLDS","TOTAL","2009-Q1",17366,3
"320",7,"BONDS","TOTAL","2009-Q1",1000,2
"363",8,"EQUITIES","TOTAL","2009-Q1",1000,2
"406",11,"LOANS","TOTAL","2009-Q1",1000,2
"481",12,"NET INVESTMENTS","TOTAL","2009-Q1",29867,4
"524",14,"IF SHARES","TOTAL","2009-Q1",1000,2
