"","id","party","instrument","time","value","type"
"15",1,"BANKS","TOTAL","2010-Q3",32620,1
"58",3,"NON-BANKS","TOTAL","2010-Q3",6070,3
"133",4,"NON-FINANCIAL COMPANIES","TOTAL","2010-Q3",191,3
"208",2,"GOVERNMENT","TOTAL","2010-Q3",3806,3
"283",6,"HOUSEHOLDS","TOTAL","2010-Q3",18720,3
"326",7,"BONDS","TOTAL","2010-Q3",1000,2
"369",8,"EQUITIES","TOTAL","2010-Q3",1000,2
"412",11,"LOANS","TOTAL","2010-Q3",1000,2
"487",12,"NET INVESTMENTS","TOTAL","2010-Q3",30790,4
"530",14,"IF SHARES","TOTAL","2010-Q3",1000,2
