"","id","party","instrument","time","value","type"
"16",1,"BANKS","TOTAL","2016-Q4",34156,1
"35",3,"NON-BANKS","TOTAL","2016-Q4",11122,3
"110",4,"NON-FINANCIAL COMPANIES","TOTAL","2016-Q4",304,3
"185",2,"GOVERNMENT","TOTAL","2016-Q4",5143,3
"260",6,"HOUSEHOLDS","TOTAL","2016-Q4",23042,3
"279",7,"BONDS","TOTAL","2016-Q4",1000,2
"298",8,"EQUITIES","TOTAL","2016-Q4",1000,2
"317",11,"LOANS","TOTAL","2016-Q4",1000,2
"392",12,"NET INVESTMENTS","TOTAL","2016-Q4",32007,4
"411",14,"IF SHARES","TOTAL","2016-Q4",1000,2
"423",0,"ECB","TOTAL","2016-Q4",1532,1
