"","id","party","instrument","time","value","type"
"6",1,"BANKS","TOTAL","2014-Q2",31512,1
"25",3,"NON-BANKS","TOTAL","2014-Q2",8717,3
"100",4,"NON-FINANCIAL COMPANIES","TOTAL","2014-Q2",131,3
"175",2,"GOVERNMENT","TOTAL","2014-Q2",5106,3
"250",6,"HOUSEHOLDS","TOTAL","2014-Q2",21141,3
"269",7,"BONDS","TOTAL","2014-Q2",1000,2
"288",8,"EQUITIES","TOTAL","2014-Q2",1000,2
"307",11,"LOANS","TOTAL","2014-Q2",1000,2
"382",12,"NET INVESTMENTS","TOTAL","2014-Q2",29804,4
"401",14,"IF SHARES","TOTAL","2014-Q2",1000,2
