"","id","party","instrument","time","value","type"
"12",1,"BANKS","TOTAL","2015-Q4",32554,1
"31",3,"NON-BANKS","TOTAL","2015-Q4",10384,3
"106",4,"NON-FINANCIAL COMPANIES","TOTAL","2015-Q4",278,3
"181",2,"GOVERNMENT","TOTAL","2015-Q4",5077,3
"256",6,"HOUSEHOLDS","TOTAL","2015-Q4",22303,3
"275",7,"BONDS","TOTAL","2015-Q4",1000,2
"294",8,"EQUITIES","TOTAL","2015-Q4",1000,2
"313",11,"LOANS","TOTAL","2015-Q4",1000,2
"388",12,"NET INVESTMENTS","TOTAL","2015-Q4",30639,4
"407",14,"IF SHARES","TOTAL","2015-Q4",1000,2
"419",0,"ECB","TOTAL","2015-Q4",649,1
