"","id","party","instrument","time","value","type"
"10",1,"BANKS","TOTAL","2009-Q2",32307,1
"53",3,"NON-BANKS","TOTAL","2009-Q2",4701,3
"128",4,"NON-FINANCIAL COMPANIES","TOTAL","2009-Q2",16,3
"203",2,"GOVERNMENT","TOTAL","2009-Q2",3720,3
"278",6,"HOUSEHOLDS","TOTAL","2009-Q2",17697,3
"321",7,"BONDS","TOTAL","2009-Q2",1000,2
"364",8,"EQUITIES","TOTAL","2009-Q2",1000,2
"407",11,"LOANS","TOTAL","2009-Q2",1000,2
"482",12,"NET INVESTMENTS","TOTAL","2009-Q2",29634,4
"525",14,"IF SHARES","TOTAL","2009-Q2",1000,2
