"","id","party","instrument","time","value","type"
"14",1,"BANKS","TOTAL","2010-Q2",33487,1
"57",3,"NON-BANKS","TOTAL","2010-Q2",5883,3
"132",4,"NON-FINANCIAL COMPANIES","TOTAL","2010-Q2",202,3
"207",2,"GOVERNMENT","TOTAL","2010-Q2",3819,3
"282",6,"HOUSEHOLDS","TOTAL","2010-Q2",18460,3
"325",7,"BONDS","TOTAL","2010-Q2",1000,2
"368",8,"EQUITIES","TOTAL","2010-Q2",1000,2
"411",11,"LOANS","TOTAL","2010-Q2",1000,2
"486",12,"NET INVESTMENTS","TOTAL","2010-Q2",30481,4
"529",14,"IF SHARES","TOTAL","2010-Q2",1000,2
