"","id","party","instrument","time","value","type"
"14",1,"BANKS","TOTAL","2016-Q2",33867,1
"33",3,"NON-BANKS","TOTAL","2016-Q2",10619,3
"108",4,"NON-FINANCIAL COMPANIES","TOTAL","2016-Q2",202,3
"183",2,"GOVERNMENT","TOTAL","2016-Q2",5223,3
"258",6,"HOUSEHOLDS","TOTAL","2016-Q2",22474,3
"277",7,"BONDS","TOTAL","2016-Q2",1000,2
"296",8,"EQUITIES","TOTAL","2016-Q2",1000,2
"315",11,"LOANS","TOTAL","2016-Q2",1000,2
"390",12,"NET INVESTMENTS","TOTAL","2016-Q2",31358,4
"409",14,"IF SHARES","TOTAL","2016-Q2",1000,2
"421",0,"ECB","TOTAL","2016-Q2",1084,1
