"","id","party","instrument","time","value","type"
"8",1,"BANKS","TOTAL","2014-Q4",31603,1
"27",3,"NON-BANKS","TOTAL","2014-Q4",9307,3
"102",4,"NON-FINANCIAL COMPANIES","TOTAL","2014-Q4",262,3
"177",2,"GOVERNMENT","TOTAL","2014-Q4",5075,3
"252",6,"HOUSEHOLDS","TOTAL","2014-Q4",21465,3
"271",7,"BONDS","TOTAL","2014-Q4",1000,2
"290",8,"EQUITIES","TOTAL","2014-Q4",1000,2
"309",11,"LOANS","TOTAL","2014-Q4",1000,2
"384",12,"NET INVESTMENTS","TOTAL","2014-Q4",29874,4
"403",14,"IF SHARES","TOTAL","2014-Q4",1000,2
"415",0,"ECB","TOTAL","2014-Q4",31,1
