"","id","party","instrument","time","value","type"
"12",1,"BANKS","TOTAL","2009-Q4",31847,1
"55",3,"NON-BANKS","TOTAL","2009-Q4",5430,3
"130",4,"NON-FINANCIAL COMPANIES","TOTAL","2009-Q4",142,3
"205",2,"GOVERNMENT","TOTAL","2009-Q4",3675,3
"280",6,"HOUSEHOLDS","TOTAL","2009-Q4",18288,3
"323",7,"BONDS","TOTAL","2009-Q4",1000,2
"366",8,"EQUITIES","TOTAL","2009-Q4",1000,2
"409",11,"LOANS","TOTAL","2009-Q4",1000,2
"484",12,"NET INVESTMENTS","TOTAL","2009-Q4",30182,4
"527",14,"IF SHARES","TOTAL","2009-Q4",1000,2
