"","id","party","instrument","time","value","type"
"8",1,"BANKS","TOTAL","2008-Q4",32374,1
"51",3,"NON-BANKS","TOTAL","2008-Q4",4461,3
"126",4,"NON-FINANCIAL COMPANIES","TOTAL","2008-Q4",124,3
"201",2,"GOVERNMENT","TOTAL","2008-Q4",3511,3
"276",6,"HOUSEHOLDS","TOTAL","2008-Q4",17698,3
"319",7,"BONDS","TOTAL","2008-Q4",1000,2
"362",8,"EQUITIES","TOTAL","2008-Q4",1000,2
"405",11,"LOANS","TOTAL","2008-Q4",1000,2
"480",12,"NET INVESTMENTS","TOTAL","2008-Q4",30341,4
"523",14,"IF SHARES","TOTAL","2008-Q4",1000,2
