"","id","party","instrument","time","value","type"
"17",1,"BANKS","TOTAL","2011-Q1",31920,1
"60",3,"NON-BANKS","TOTAL","2011-Q1",6358,3
"135",4,"NON-FINANCIAL COMPANIES","TOTAL","2011-Q1",136,3
"210",2,"GOVERNMENT","TOTAL","2011-Q1",4098,3
"285",6,"HOUSEHOLDS","TOTAL","2011-Q1",18936,3
"328",7,"BONDS","TOTAL","2011-Q1",1000,2
"371",8,"EQUITIES","TOTAL","2011-Q1",1000,2
"414",11,"LOANS","TOTAL","2011-Q1",1000,2
"489",12,"NET INVESTMENTS","TOTAL","2011-Q1",30874,4
"532",14,"IF SHARES","TOTAL","2011-Q1",1000,2
