"","id","party","instrument","time","value","type"
"24",1,"BANKS","TOTAL","2012-Q4",34532,1
"67",3,"NON-BANKS","TOTAL","2012-Q4",7185,3
"142",4,"NON-FINANCIAL COMPANIES","TOTAL","2012-Q4",170,3
"217",2,"GOVERNMENT","TOTAL","2012-Q4",4617,3
"292",6,"HOUSEHOLDS","TOTAL","2012-Q4",19776,3
"335",7,"BONDS","TOTAL","2012-Q4",1000,2
"378",8,"EQUITIES","TOTAL","2012-Q4",1000,2
"421",11,"LOANS","TOTAL","2012-Q4",1000,2
"496",12,"NET INVESTMENTS","TOTAL","2012-Q4",29956,4
"539",14,"IF SHARES","TOTAL","2012-Q4",1000,2
