"","id","party","instrument","time","value","type"
"1",1,"BANKS","TOTAL","2007-Q1",27444,1
"44",3,"NON-BANKS","TOTAL","2007-Q1",6057,3
"119",4,"NON-FINANCIAL COMPANIES","TOTAL","2007-Q1",230,3
"194",2,"GOVERNMENT","TOTAL","2007-Q1",3170,3
"269",6,"HOUSEHOLDS","TOTAL","2007-Q1",18384,3
"312",7,"BONDS","TOTAL","2007-Q1",1000,2
"355",8,"EQUITIES","TOTAL","2007-Q1",1000,2
"398",11,"LOANS","TOTAL","2007-Q1",1000,2
"473",12,"NET INVESTMENTS","TOTAL","2007-Q1",28823,4
"516",14,"IF SHARES","TOTAL","2007-Q1",1000,2
