"","id","party","instrument","time","value","type"
"3",1,"BANKS","TOTAL","2013-Q3",32502,1
"22",3,"NON-BANKS","TOTAL","2013-Q3",7777,3
"97",4,"NON-FINANCIAL COMPANIES","TOTAL","2013-Q3",104,3
"172",2,"GOVERNMENT","TOTAL","2013-Q3",4724,3
"247",6,"HOUSEHOLDS","TOTAL","2013-Q3",20194,3
"266",7,"BONDS","TOTAL","2013-Q3",1000,2
"285",8,"EQUITIES","TOTAL","2013-Q3",1000,2
"304",11,"LOANS","TOTAL","2013-Q3",1000,2
"379",12,"NET INVESTMENTS","TOTAL","2013-Q3",29850,4
"398",14,"IF SHARES","TOTAL","2013-Q3",1000,2
