"","id","party","instrument","time","value","type"
"15",1,"BANKS","TOTAL","2016-Q3",34091,1
"34",3,"NON-BANKS","TOTAL","2016-Q3",10953,3
"109",4,"NON-FINANCIAL COMPANIES","TOTAL","2016-Q3",124,3
"184",2,"GOVERNMENT","TOTAL","2016-Q3",5162,3
"259",6,"HOUSEHOLDS","TOTAL","2016-Q3",22722,3
"278",7,"BONDS","TOTAL","2016-Q3",1000,2
"297",8,"EQUITIES","TOTAL","2016-Q3",1000,2
"316",11,"LOANS","TOTAL","2016-Q3",1000,2
"391",12,"NET INVESTMENTS","TOTAL","2016-Q3",31873,4
"410",14,"IF SHARES","TOTAL","2016-Q3",1000,2
"422",0,"ECB","TOTAL","2016-Q3",1305,1
