"","id","party","instrument","time","value","type"
"19",1,"BANKS","TOTAL","2011-Q3",33637,1
"62",3,"NON-BANKS","TOTAL","2011-Q3",6098,3
"137",4,"NON-FINANCIAL COMPANIES","TOTAL","2011-Q3",151,3
"212",2,"GOVERNMENT","TOTAL","2011-Q3",4036,3
"287",6,"HOUSEHOLDS","TOTAL","2011-Q3",18822,3
"330",7,"BONDS","TOTAL","2011-Q3",1000,2
"373",8,"EQUITIES","TOTAL","2011-Q3",1000,2
"416",11,"LOANS","TOTAL","2011-Q3",1000,2
"491",12,"NET INVESTMENTS","TOTAL","2011-Q3",31237,4
"534",14,"IF SHARES","TOTAL","2011-Q3",1000,2
