"","id","party","instrument","time","value","type"
"9",1,"BANKS","TOTAL","2015-Q1",32789,1
"28",3,"NON-BANKS","TOTAL","2015-Q1",10509,3
"103",4,"NON-FINANCIAL COMPANIES","TOTAL","2015-Q1",134,3
"178",2,"GOVERNMENT","TOTAL","2015-Q1",5183,3
"253",6,"HOUSEHOLDS","TOTAL","2015-Q1",22360,3
"272",7,"BONDS","TOTAL","2015-Q1",1000,2
"291",8,"EQUITIES","TOTAL","2015-Q1",1000,2
"310",11,"LOANS","TOTAL","2015-Q1",1000,2
"385",12,"NET INVESTMENTS","TOTAL","2015-Q1",29908,4
"404",14,"IF SHARES","TOTAL","2015-Q1",1000,2
"416",0,"ECB","TOTAL","2015-Q1",115,1
