"","id","party","instrument","time","value","type"
"23",1,"BANKS","TOTAL","2012-Q3",35305,1
"66",3,"NON-BANKS","TOTAL","2012-Q3",7048,3
"141",4,"NON-FINANCIAL COMPANIES","TOTAL","2012-Q3",61,3
"216",2,"GOVERNMENT","TOTAL","2012-Q3",4450,3
"291",6,"HOUSEHOLDS","TOTAL","2012-Q3",19508,3
"334",7,"BONDS","TOTAL","2012-Q3",1000,2
"377",8,"EQUITIES","TOTAL","2012-Q3",1000,2
"420",11,"LOANS","TOTAL","2012-Q3",1000,2
"495",12,"NET INVESTMENTS","TOTAL","2012-Q3",30235,4
"538",14,"IF SHARES","TOTAL","2012-Q3",1000,2
