"","id","party","instrument","time","value","type"
"18",1,"BANKS","TOTAL","2011-Q2",32190,1
"61",3,"NON-BANKS","TOTAL","2011-Q2",6379,3
"136",4,"NON-FINANCIAL COMPANIES","TOTAL","2011-Q2",193,3
"211",2,"GOVERNMENT","TOTAL","2011-Q2",4174,3
"286",6,"HOUSEHOLDS","TOTAL","2011-Q2",19036,3
"329",7,"BONDS","TOTAL","2011-Q2",1000,2
"372",8,"EQUITIES","TOTAL","2011-Q2",1000,2
"415",11,"LOANS","TOTAL","2011-Q2",1000,2
"490",12,"NET INVESTMENTS","TOTAL","2011-Q2",31054,4
"533",14,"IF SHARES","TOTAL","2011-Q2",1000,2
