"","id","party","instrument","time","value","type"
"35",1,"BANKS","TOTAL","2015-Q3",32471,1
"78",3,"NON-BANKS","TOTAL","2015-Q3",10070,3
"153",4,"NON-FINANCIAL COMPANIES","TOTAL","2015-Q3",213,3
"228",2,"GOVERNMENT","TOTAL","2015-Q3",5117,3
"303",6,"HOUSEHOLDS","TOTAL","2015-Q3",21891,3
"346",7,"BONDS","TOTAL","2015-Q3",1000,2
"389",8,"EQUITIES","TOTAL","2015-Q3",1000,2
"432",11,"LOANS","TOTAL","2015-Q3",1000,2
"507",12,"NET INVESTMENTS","TOTAL","2015-Q3",30638,4
"550",14,"IF SHARES","TOTAL","2015-Q3",1000,2
"562",0,"ECB","TOTAL","2015-Q3",475,1
