"","id","party","instrument","time","value","type"
"7",1,"BANKS","TOTAL","2014-Q3",31650,1
"26",3,"NON-BANKS","TOTAL","2014-Q3",9169,3
"101",4,"NON-FINANCIAL COMPANIES","TOTAL","2014-Q3",95,3
"176",2,"GOVERNMENT","TOTAL","2014-Q3",5026,3
"251",6,"HOUSEHOLDS","TOTAL","2014-Q3",21274,3
"270",7,"BONDS","TOTAL","2014-Q3",1000,2
"289",8,"EQUITIES","TOTAL","2014-Q3",1000,2
"308",11,"LOANS","TOTAL","2014-Q3",1000,2
"383",12,"NET INVESTMENTS","TOTAL","2014-Q3",30092,4
"402",14,"IF SHARES","TOTAL","2014-Q3",1000,2
