"","id","party","instrument","time","value","type"
"1",1,"BANKS","TOTAL","2013-Q1",33774,1
"20",3,"NON-BANKS","TOTAL","2013-Q1",7610,3
"95",4,"NON-FINANCIAL COMPANIES","TOTAL","2013-Q1",70,3
"170",2,"GOVERNMENT","TOTAL","2013-Q1",4738,3
"245",6,"HOUSEHOLDS","TOTAL","2013-Q1",19938,3
"264",7,"BONDS","TOTAL","2013-Q1",1000,2
"283",8,"EQUITIES","TOTAL","2013-Q1",1000,2
"302",11,"LOANS","TOTAL","2013-Q1",1000,2
"377",12,"NET INVESTMENTS","TOTAL","2013-Q1",29553,4
"396",14,"IF SHARES","TOTAL","2013-Q1",1000,2
