"","id","party","instrument","time","value","type"
"28",1,"BANKS","TOTAL","2013-Q4",31699,1
"71",3,"NON-BANKS","TOTAL","2013-Q4",7942,3
"146",4,"NON-FINANCIAL COMPANIES","TOTAL","2013-Q4",122,3
"221",2,"GOVERNMENT","TOTAL","2013-Q4",4823,3
"296",6,"HOUSEHOLDS","TOTAL","2013-Q4",20513,3
"339",7,"BONDS","TOTAL","2013-Q4",1000,2
"382",8,"EQUITIES","TOTAL","2013-Q4",1000,2
"425",11,"LOANS","TOTAL","2013-Q4",1000,2
"500",12,"NET INVESTMENTS","TOTAL","2013-Q4",29603,4
"543",14,"IF SHARES","TOTAL","2013-Q4",1000,2
