"","id","party","instrument","time","value","type"
"6",1,"BANKS","TOTAL","2008-Q2",30985,1
"49",3,"NON-BANKS","TOTAL","2008-Q2",5374,3
"124",4,"NON-FINANCIAL COMPANIES","TOTAL","2008-Q2",79,3
"199",2,"GOVERNMENT","TOTAL","2008-Q2",3407,3
"274",6,"HOUSEHOLDS","TOTAL","2008-Q2",18103,3
"317",7,"BONDS","TOTAL","2008-Q2",1000,2
"360",8,"EQUITIES","TOTAL","2008-Q2",1000,2
"403",11,"LOANS","TOTAL","2008-Q2",1000,2
"478",12,"NET INVESTMENTS","TOTAL","2008-Q2",30891,4
"521",14,"IF SHARES","TOTAL","2008-Q2",1000,2
