"","id","party","instrument","time","value","type"
"11",1,"BANKS","TOTAL","2009-Q3",31833,1
"54",3,"NON-BANKS","TOTAL","2009-Q3",5185,3
"129",4,"NON-FINANCIAL COMPANIES","TOTAL","2009-Q3",-21,3
"204",2,"GOVERNMENT","TOTAL","2009-Q3",3746,3
"279",6,"HOUSEHOLDS","TOTAL","2009-Q3",18124,3
"322",7,"BONDS","TOTAL","2009-Q3",1000,2
"365",8,"EQUITIES","TOTAL","2009-Q3",1000,2
"408",11,"LOANS","TOTAL","2009-Q3",1000,2
"483",12,"NET INVESTMENTS","TOTAL","2009-Q3",29920,4
"526",14,"IF SHARES","TOTAL","2009-Q3",1000,2
