"","id","party","instrument","time","value","type"
"16",1,"BANKS","TOTAL","2010-Q4",32193,1
"59",3,"NON-BANKS","TOTAL","2010-Q4",6296,3
"134",4,"NON-FINANCIAL COMPANIES","TOTAL","2010-Q4",251,3
"209",2,"GOVERNMENT","TOTAL","2010-Q4",4047,3
"284",6,"HOUSEHOLDS","TOTAL","2010-Q4",18852,3
"327",7,"BONDS","TOTAL","2010-Q4",1000,2
"370",8,"EQUITIES","TOTAL","2010-Q4",1000,2
"413",11,"LOANS","TOTAL","2010-Q4",1000,2
"488",12,"NET INVESTMENTS","TOTAL","2010-Q4",30949,4
"531",14,"IF SHARES","TOTAL","2010-Q4",1000,2
