"","from","to","time","flow","type"
"14",1,7,"2007-Q4",256,1
"57",1,8,"2007-Q4",78,1
"100",1,11,"2007-Q4",268,1
"143",1,14,"2007-Q4",-9,1
"186",2,7,"2007-Q4",1,1
"229",2,12,"2007-Q4",25,1
"272",3,7,"2007-Q4",287,1
"315",3,8,"2007-Q4",367,1
"358",3,11,"2007-Q4",429,1
"401",3,14,"2007-Q4",22,1
"444",4,7,"2007-Q4",-3,1
"487",4,8,"2007-Q4",117,1
"530",4,12,"2007-Q4",96,1
"573",4,14,"2007-Q4",-11,1
"616",6,7,"2007-Q4",20,1
"659",6,8,"2007-Q4",9,1
"702",6,12,"2007-Q4",73,1
"745",6,14,"2007-Q4",-53,1
"788",7,1,"2007-Q4",103,2
"831",7,2,"2007-Q4",-57,2
"874",7,3,"2007-Q4",303,2
"917",7,4,"2007-Q4",10,2
"960",8,1,"2007-Q4",43,2
"1003",8,3,"2007-Q4",344,2
"1046",8,4,"2007-Q4",121,2
"1089",11,2,"2007-Q4",15,2
"1132",11,3,"2007-Q4",65,2
"1175",11,4,"2007-Q4",239,2
"1218",11,6,"2007-Q4",107,2
"1261",14,1,"2007-Q4",9,2
"1304",14,3,"2007-Q4",3,2
