"","from","to","time","flow","type"
"11",1,7,"2007-Q1",204,1
"54",1,8,"2007-Q1",8,1
"97",1,11,"2007-Q1",304,1
"140",1,14,"2007-Q1",-4,1
"183",2,7,"2007-Q1",6,1
"226",2,12,"2007-Q1",10,1
"269",3,7,"2007-Q1",277,1
"312",3,8,"2007-Q1",126,1
"355",3,11,"2007-Q1",427,1
"398",3,14,"2007-Q1",56,1
"441",4,7,"2007-Q1",15,1
"484",4,8,"2007-Q1",79,1
"527",4,12,"2007-Q1",73,1
"570",4,14,"2007-Q1",18,1
"613",6,7,"2007-Q1",54,1
"656",6,8,"2007-Q1",12,1
"699",6,12,"2007-Q1",64,1
"742",6,14,"2007-Q1",3,1
"785",7,1,"2007-Q1",191,2
"828",7,2,"2007-Q1",88,2
"871",7,3,"2007-Q1",298,2
"914",7,4,"2007-Q1",10,2
"957",8,1,"2007-Q1",28,2
"1000",8,3,"2007-Q1",136,2
"1043",8,4,"2007-Q1",108,2
"1086",11,2,"2007-Q1",11,2
"1129",11,3,"2007-Q1",115,2
"1172",11,4,"2007-Q1",128,2
"1215",11,6,"2007-Q1",89,2
"1258",14,1,"2007-Q1",84,2
"1301",14,3,"2007-Q1",164,2
