"","from","to","time","flow","type"
"4",0,7,"2015-Q3",175,1
"45",1,7,"2015-Q3",131,1
"88",1,8,"2015-Q3",-5,1
"131",1,11,"2015-Q3",-77,1
"174",1,14,"2015-Q3",0,1
"217",2,7,"2015-Q3",-5,1
"260",2,12,"2015-Q3",0,1
"303",3,7,"2015-Q3",142,1
"346",3,8,"2015-Q3",288,1
"389",3,11,"2015-Q3",63,1
"432",3,14,"2015-Q3",43,1
"475",4,7,"2015-Q3",-8,1
"518",4,8,"2015-Q3",80,1
"561",4,12,"2015-Q3",27,1
"604",4,14,"2015-Q3",11,1
"647",6,7,"2015-Q3",-32,1
"690",6,8,"2015-Q3",21,1
"733",6,12,"2015-Q3",18,1
"776",6,14,"2015-Q3",17,1
"819",7,1,"2015-Q3",-78,2
"862",7,2,"2015-Q3",-1,2
"905",7,3,"2015-Q3",-43,2
"948",7,4,"2015-Q3",10,2
"991",8,1,"2015-Q3",5,2
"1034",8,3,"2015-Q3",316,2
"1077",8,4,"2015-Q3",72,2
"1120",11,2,"2015-Q3",12,2
"1163",11,3,"2015-Q3",6,2
"1206",11,4,"2015-Q3",91,2
"1249",11,6,"2015-Q3",30,2
"1292",14,1,"2015-Q3",28,2
"1335",14,3,"2015-Q3",93,2
