"","from","to","time","flow","type"
"13",1,7,"2013-Q3",-135,1
"32",1,8,"2013-Q3",4,1
"51",1,11,"2013-Q3",-101,1
"70",1,14,"2013-Q3",8,1
"89",2,7,"2013-Q3",-6,1
"108",2,12,"2013-Q3",1,1
"127",3,7,"2013-Q3",54,1
"146",3,8,"2013-Q3",164,1
"165",3,11,"2013-Q3",-87,1
"184",3,14,"2013-Q3",65,1
"203",4,7,"2013-Q3",0,1
"222",4,8,"2013-Q3",14,1
"241",4,12,"2013-Q3",18,1
"260",4,14,"2013-Q3",3,1
"279",6,7,"2013-Q3",-26,1
"298",6,8,"2013-Q3",-5,1
"317",6,12,"2013-Q3",23,1
"336",6,14,"2013-Q3",2,1
"355",7,1,"2013-Q3",-100,2
"374",7,2,"2013-Q3",-35,2
"393",7,3,"2013-Q3",-14,2
"412",7,4,"2013-Q3",30,2
"431",8,1,"2013-Q3",-28,2
"450",8,3,"2013-Q3",103,2
"469",8,4,"2013-Q3",61,2
"488",11,2,"2013-Q3",-4,2
"507",11,3,"2013-Q3",-97,2
"526",11,4,"2013-Q3",-57,2
"545",11,6,"2013-Q3",4,2
"564",14,1,"2013-Q3",-7,2
"583",14,3,"2013-Q3",102,2
