"","from","to","time","flow","type"
"11",1,7,"2013-Q1",32,1
"30",1,8,"2013-Q1",15,1
"49",1,11,"2013-Q1",27,1
"68",1,14,"2013-Q1",-5,1
"87",2,7,"2013-Q1",-10,1
"106",2,12,"2013-Q1",-7,1
"125",3,7,"2013-Q1",184,1
"144",3,8,"2013-Q1",126,1
"163",3,11,"2013-Q1",-10,1
"182",3,14,"2013-Q1",92,1
"201",4,7,"2013-Q1",-8,1
"220",4,8,"2013-Q1",69,1
"239",4,12,"2013-Q1",9,1
"258",4,14,"2013-Q1",3,1
"277",6,7,"2013-Q1",-79,1
"296",6,8,"2013-Q1",23,1
"315",6,12,"2013-Q1",9,1
"334",6,14,"2013-Q1",21,1
"353",7,1,"2013-Q1",-100,2
"372",7,2,"2013-Q1",186,2
"391",7,3,"2013-Q1",0,2
"410",7,4,"2013-Q1",28,2
"429",8,1,"2013-Q1",20,2
"448",8,3,"2013-Q1",66,2
"467",8,4,"2013-Q1",83,2
"486",11,2,"2013-Q1",-21,2
"505",11,3,"2013-Q1",63,2
"524",11,4,"2013-Q1",11,2
"543",11,6,"2013-Q1",-30,2
"562",14,1,"2013-Q1",-2,2
"581",14,3,"2013-Q1",163,2
