"","from","to","time","flow","type"
"23",1,7,"2010-Q1",66,1
"66",1,8,"2010-Q1",0,1
"109",1,11,"2010-Q1",57,1
"152",1,14,"2010-Q1",12,1
"195",2,7,"2010-Q1",-3,1
"238",2,12,"2010-Q1",10,1
"281",3,7,"2010-Q1",259,1
"324",3,8,"2010-Q1",96,1
"367",3,11,"2010-Q1",62,1
"410",3,14,"2010-Q1",108,1
"453",4,7,"2010-Q1",14,1
"496",4,8,"2010-Q1",109,1
"539",4,12,"2010-Q1",12,1
"582",4,14,"2010-Q1",-9,1
"625",6,7,"2010-Q1",-40,1
"668",6,8,"2010-Q1",38,1
"711",6,12,"2010-Q1",26,1
"754",6,14,"2010-Q1",-21,1
"797",7,1,"2010-Q1",74,2
"840",7,2,"2010-Q1",169,2
"883",7,3,"2010-Q1",54,2
"926",7,4,"2010-Q1",30,2
"969",8,1,"2010-Q1",17,2
"1012",8,3,"2010-Q1",130,2
"1055",8,4,"2010-Q1",66,2
"1098",11,2,"2010-Q1",16,2
"1141",11,3,"2010-Q1",0,2
"1184",11,4,"2010-Q1",-27,2
"1227",11,6,"2010-Q1",9,2
"1270",14,1,"2010-Q1",-44,2
"1313",14,3,"2010-Q1",117,2
