"","from","to","time","flow","type"
"10",0,7,"2017-Q1",245,1
"51",1,7,"2017-Q1",253,1
"94",1,8,"2017-Q1",13,1
"137",1,11,"2017-Q1",186,1
"180",1,14,"2017-Q1",6,1
"223",2,7,"2017-Q1",-11,1
"266",2,12,"2017-Q1",-10,1
"309",3,7,"2017-Q1",371,1
"352",3,8,"2017-Q1",178,1
"395",3,11,"2017-Q1",189,1
"438",3,14,"2017-Q1",115,1
"481",4,7,"2017-Q1",15,1
"524",4,8,"2017-Q1",40,1
"567",4,12,"2017-Q1",42,1
"610",4,14,"2017-Q1",22,1
"653",6,7,"2017-Q1",-17,1
"696",6,8,"2017-Q1",-20,1
"739",6,12,"2017-Q1",21,1
"782",6,14,"2017-Q1",33,1
"825",7,1,"2017-Q1",14,2
"868",7,2,"2017-Q1",126,2
"911",7,3,"2017-Q1",32,2
"954",7,4,"2017-Q1",34,2
"997",8,1,"2017-Q1",27,2
"1040",8,3,"2017-Q1",41,2
"1083",8,4,"2017-Q1",89,2
"1126",11,2,"2017-Q1",-10,2
"1169",11,3,"2017-Q1",157,2
"1212",11,4,"2017-Q1",152,2
"1255",11,6,"2017-Q1",29,2
"1298",14,1,"2017-Q1",48,2
"1341",14,3,"2017-Q1",250,2
