"","from","to","time","flow","type"
"27",1,7,"2011-Q1",-11,1
"70",1,8,"2011-Q1",-13,1
"113",1,11,"2011-Q1",95,1
"156",1,14,"2011-Q1",1,1
"199",2,7,"2011-Q1",-22,1
"242",2,12,"2011-Q1",4,1
"285",3,7,"2011-Q1",89,1
"328",3,8,"2011-Q1",169,1
"371",3,11,"2011-Q1",138,1
"414",3,14,"2011-Q1",35,1
"457",4,7,"2011-Q1",10,1
"500",4,8,"2011-Q1",50,1
"543",4,12,"2011-Q1",27,1
"586",4,14,"2011-Q1",-12,1
"629",6,7,"2011-Q1",24,1
"672",6,8,"2011-Q1",2,1
"715",6,12,"2011-Q1",29,1
"758",6,14,"2011-Q1",-7,1
"801",7,1,"2011-Q1",86,2
"844",7,2,"2011-Q1",139,2
"887",7,3,"2011-Q1",47,2
"930",7,4,"2011-Q1",12,2
"973",8,1,"2011-Q1",-2,2
"1016",8,3,"2011-Q1",166,2
"1059",8,4,"2011-Q1",65,2
"1102",11,2,"2011-Q1",18,2
"1145",11,3,"2011-Q1",69,2
"1188",11,4,"2011-Q1",69,2
"1231",11,6,"2011-Q1",5,2
"1274",14,1,"2011-Q1",-9,2
"1317",14,3,"2011-Q1",50,2
