"","from","to","time","flow","type"
"7",0,7,"2016-Q2",255,1
"24",1,7,"2016-Q2",236,1
"43",1,8,"2016-Q2",24,1
"62",1,11,"2016-Q2",59,1
"81",1,14,"2016-Q2",4,1
"100",2,7,"2016-Q2",-16,1
"119",2,12,"2016-Q2",-4,1
"138",3,7,"2016-Q2",116,1
"157",3,8,"2016-Q2",9,1
"176",3,11,"2016-Q2",108,1
"195",3,14,"2016-Q2",63,1
"214",4,7,"2016-Q2",1,1
"233",4,8,"2016-Q2",44,1
"252",4,12,"2016-Q2",62,1
"271",4,14,"2016-Q2",-6,1
"290",6,7,"2016-Q2",-16,1
"309",6,8,"2016-Q2",-7,1
"328",6,12,"2016-Q2",29,1
"347",6,14,"2016-Q2",35,1
"366",7,1,"2016-Q2",7,2
"385",7,2,"2016-Q2",60,2
"404",7,3,"2016-Q2",46,2
"423",7,4,"2016-Q2",13,2
"442",8,1,"2016-Q2",-18,2
"461",8,3,"2016-Q2",6,2
"480",8,4,"2016-Q2",46,2
"499",11,2,"2016-Q2",10,2
"518",11,3,"2016-Q2",30,2
"537",11,4,"2016-Q2",110,2
"556",11,6,"2016-Q2",54,2
"575",14,1,"2016-Q2",28,2
"594",14,3,"2016-Q2",124,2
