"","from","to","time","flow","type"
"21",1,7,"2009-Q3",27,1
"64",1,8,"2009-Q3",11,1
"107",1,11,"2009-Q3",-53,1
"150",1,14,"2009-Q3",15,1
"193",2,7,"2009-Q3",7,1
"236",2,12,"2009-Q3",20,1
"279",3,7,"2009-Q3",102,1
"322",3,8,"2009-Q3",132,1
"365",3,11,"2009-Q3",-6,1
"408",3,14,"2009-Q3",116,1
"451",4,7,"2009-Q3",6,1
"494",4,8,"2009-Q3",5,1
"537",4,12,"2009-Q3",16,1
"580",4,14,"2009-Q3",8,1
"623",6,7,"2009-Q3",0,1
"666",6,8,"2009-Q3",28,1
"709",6,12,"2009-Q3",36,1
"752",6,14,"2009-Q3",10,1
"795",7,1,"2009-Q3",-2,2
"838",7,2,"2009-Q3",110,2
"881",7,3,"2009-Q3",12,2
"924",7,4,"2009-Q3",29,2
"967",8,1,"2009-Q3",22,2
"1010",8,3,"2009-Q3",47,2
"1053",8,4,"2009-Q3",74,2
"1096",11,2,"2009-Q3",1,2
"1139",11,3,"2009-Q3",43,2
"1182",11,4,"2009-Q3",-93,2
"1225",11,6,"2009-Q3",26,2
"1268",14,1,"2009-Q3",-4,2
"1311",14,3,"2009-Q3",193,2
