"","from","to","time","flow","type"
"40",1,7,"2014-Q2",-17,1
"83",1,8,"2014-Q2",-3,1
"126",1,11,"2014-Q2",-8,1
"169",1,14,"2014-Q2",-1,1
"212",2,7,"2014-Q2",-6,1
"255",2,12,"2014-Q2",-3,1
"298",3,7,"2014-Q2",83,1
"341",3,8,"2014-Q2",53,1
"384",3,11,"2014-Q2",137,1
"427",3,14,"2014-Q2",58,1
"470",4,7,"2014-Q2",-24,1
"513",4,8,"2014-Q2",39,1
"556",4,12,"2014-Q2",34,1
"599",4,14,"2014-Q2",5,1
"642",6,7,"2014-Q2",-43,1
"685",6,8,"2014-Q2",-31,1
"728",6,12,"2014-Q2",22,1
"771",6,14,"2014-Q2",58,1
"814",7,1,"2014-Q2",-59,2
"857",7,2,"2014-Q2",122,2
"900",7,3,"2014-Q2",-58,2
"943",7,4,"2014-Q2",13,2
"986",8,1,"2014-Q2",-8,2
"1029",8,3,"2014-Q2",-23,2
"1072",8,4,"2014-Q2",60,2
"1115",11,2,"2014-Q2",30,2
"1158",11,3,"2014-Q2",47,2
"1201",11,4,"2014-Q2",75,2
"1244",11,6,"2014-Q2",16,2
"1287",14,1,"2014-Q2",-7,2
"1330",14,3,"2014-Q2",180,2
