"","from","to","time","flow","type"
"13",1,7,"2007-Q3",26,1
"56",1,8,"2007-Q3",24,1
"99",1,11,"2007-Q3",274,1
"142",1,14,"2007-Q3",-13,1
"185",2,7,"2007-Q3",18,1
"228",2,12,"2007-Q3",17,1
"271",3,7,"2007-Q3",28,1
"314",3,8,"2007-Q3",79,1
"357",3,11,"2007-Q3",425,1
"400",3,14,"2007-Q3",6,1
"443",4,7,"2007-Q3",20,1
"486",4,8,"2007-Q3",132,1
"529",4,12,"2007-Q3",67,1
"572",4,14,"2007-Q3",-34,1
"615",6,7,"2007-Q3",19,1
"658",6,8,"2007-Q3",-8,1
"701",6,12,"2007-Q3",71,1
"744",6,14,"2007-Q3",-33,1
"787",7,1,"2007-Q3",90,2
"830",7,2,"2007-Q3",-7,2
"873",7,3,"2007-Q3",116,2
"916",7,4,"2007-Q3",-8,2
"959",8,1,"2007-Q3",17,2
"1002",8,3,"2007-Q3",90,2
"1045",8,4,"2007-Q3",79,2
"1088",11,2,"2007-Q3",4,2
"1131",11,3,"2007-Q3",183,2
"1174",11,4,"2007-Q3",116,2
"1217",11,6,"2007-Q3",87,2
"1260",14,1,"2007-Q3",4,2
"1303",14,3,"2007-Q3",-31,2
