"","from","to","time","flow","type"
"6",0,7,"2016-Q1",185,1
"23",1,7,"2016-Q1",215,1
"42",1,8,"2016-Q1",-52,1
"61",1,11,"2016-Q1",181,1
"80",1,14,"2016-Q1",3,1
"99",2,7,"2016-Q1",-9,1
"118",2,12,"2016-Q1",-10,1
"137",3,7,"2016-Q1",14,1
"156",3,8,"2016-Q1",10,1
"175",3,11,"2016-Q1",-8,1
"194",3,14,"2016-Q1",90,1
"213",4,7,"2016-Q1",34,1
"232",4,8,"2016-Q1",131,1
"251",4,12,"2016-Q1",30,1
"270",4,14,"2016-Q1",-9,1
"289",6,7,"2016-Q1",-18,1
"308",6,8,"2016-Q1",19,1
"327",6,12,"2016-Q1",11,1
"346",6,14,"2016-Q1",4,1
"365",7,1,"2016-Q1",-8,2
"384",7,2,"2016-Q1",150,2
"403",7,3,"2016-Q1",-16,2
"422",7,4,"2016-Q1",11,2
"441",8,1,"2016-Q1",-5,2
"460",8,3,"2016-Q1",35,2
"479",8,4,"2016-Q1",55,2
"498",11,2,"2016-Q1",2,2
"517",11,3,"2016-Q1",83,2
"536",11,4,"2016-Q1",109,2
"555",11,6,"2016-Q1",4,2
"574",14,1,"2016-Q1",-11,2
"593",14,3,"2016-Q1",43,2
