"","from","to","time","flow","type"
"15",1,7,"2014-Q1",9,1
"34",1,8,"2014-Q1",4,1
"53",1,11,"2014-Q1",18,1
"72",1,14,"2014-Q1",4,1
"91",2,7,"2014-Q1",-11,1
"110",2,12,"2014-Q1",-7,1
"129",3,7,"2014-Q1",161,1
"148",3,8,"2014-Q1",-104,1
"167",3,11,"2014-Q1",22,1
"186",3,14,"2014-Q1",70,1
"205",4,7,"2014-Q1",14,1
"224",4,8,"2014-Q1",36,1
"243",4,12,"2014-Q1",19,1
"262",4,14,"2014-Q1",-2,1
"281",6,7,"2014-Q1",-28,1
"300",6,8,"2014-Q1",18,1
"319",6,12,"2014-Q1",13,1
"338",6,14,"2014-Q1",43,1
"357",7,1,"2014-Q1",-38,2
"376",7,2,"2014-Q1",162,2
"395",7,3,"2014-Q1",0,2
"414",7,4,"2014-Q1",17,2
"433",8,1,"2014-Q1",24,2
"452",8,3,"2014-Q1",-162,2
"471",8,4,"2014-Q1",44,2
"490",11,2,"2014-Q1",2,2
"509",11,3,"2014-Q1",53,2
"528",11,4,"2014-Q1",75,2
"547",11,6,"2014-Q1",-16,2
"566",14,1,"2014-Q1",16,2
"585",14,3,"2014-Q1",173,2
