"","from","to","time","flow","type"
"16",1,7,"2008-Q2",279,1
"59",1,8,"2008-Q2",43,1
"102",1,11,"2008-Q2",226,1
"145",1,14,"2008-Q2",-10,1
"188",2,7,"2008-Q2",36,1
"231",2,12,"2008-Q2",19,1
"274",3,7,"2008-Q2",352,1
"317",3,8,"2008-Q2",93,1
"360",3,11,"2008-Q2",387,1
"403",3,14,"2008-Q2",21,1
"446",4,7,"2008-Q2",-6,1
"489",4,8,"2008-Q2",4,1
"532",4,12,"2008-Q2",88,1
"575",4,14,"2008-Q2",-14,1
"618",6,7,"2008-Q2",12,1
"661",6,8,"2008-Q2",18,1
"704",6,12,"2008-Q2",72,1
"747",6,14,"2008-Q2",-18,1
"790",7,1,"2008-Q2",159,2
"833",7,2,"2008-Q2",85,2
"876",7,3,"2008-Q2",319,2
"919",7,4,"2008-Q2",17,2
"962",8,1,"2008-Q2",6,2
"1005",8,3,"2008-Q2",46,2
"1048",8,4,"2008-Q2",36,2
"1091",11,2,"2008-Q2",13,2
"1134",11,3,"2008-Q2",109,2
"1177",11,4,"2008-Q2",183,2
"1220",11,6,"2008-Q2",100,2
"1263",14,1,"2008-Q2",4,2
"1306",14,3,"2008-Q2",24,2
