"","from","to","time","flow","type"
"25",1,7,"2010-Q3",7,1
"68",1,8,"2010-Q3",27,1
"111",1,11,"2010-Q3",55,1
"154",1,14,"2010-Q3",1,1
"197",2,7,"2010-Q3",-2,1
"240",2,12,"2010-Q3",15,1
"283",3,7,"2010-Q3",94,1
"326",3,8,"2010-Q3",103,1
"369",3,11,"2010-Q3",86,1
"412",3,14,"2010-Q3",26,1
"455",4,7,"2010-Q3",15,1
"498",4,8,"2010-Q3",98,1
"541",4,12,"2010-Q3",21,1
"584",4,14,"2010-Q3",6,1
"627",6,7,"2010-Q3",0,1
"670",6,8,"2010-Q3",11,1
"713",6,12,"2010-Q3",36,1
"756",6,14,"2010-Q3",-21,1
"799",7,1,"2010-Q3",-36,2
"842",7,2,"2010-Q3",53,2
"885",7,3,"2010-Q3",-14,2
"928",7,4,"2010-Q3",5,2
"971",8,1,"2010-Q3",-2,2
"1014",8,3,"2010-Q3",65,2
"1057",8,4,"2010-Q3",107,2
"1100",11,2,"2010-Q3",8,2
"1143",11,3,"2010-Q3",19,2
"1186",11,4,"2010-Q3",21,2
"1229",11,6,"2010-Q3",24,2
"1272",14,1,"2010-Q3",6,2
"1315",14,3,"2010-Q3",93,2
