"","from","to","time","flow","type"
"38",1,7,"2013-Q4",-196,1
"81",1,8,"2013-Q4",22,1
"124",1,11,"2013-Q4",-115,1
"167",1,14,"2013-Q4",8,1
"210",2,7,"2013-Q4",5,1
"253",2,12,"2013-Q4",7,1
"296",3,7,"2013-Q4",-96,1
"339",3,8,"2013-Q4",452,1
"382",3,11,"2013-Q4",-135,1
"425",3,14,"2013-Q4",58,1
"468",4,7,"2013-Q4",-11,1
"511",4,8,"2013-Q4",0,1
"554",4,12,"2013-Q4",40,1
"597",4,14,"2013-Q4",6,1
"640",6,7,"2013-Q4",-28,1
"683",6,8,"2013-Q4",0,1
"726",6,12,"2013-Q4",23,1
"769",6,14,"2013-Q4",-1,1
"812",7,1,"2013-Q4",-112,2
"855",7,2,"2013-Q4",16,2
"898",7,3,"2013-Q4",-146,2
"941",7,4,"2013-Q4",7,2
"984",8,1,"2013-Q4",-4,2
"1027",8,3,"2013-Q4",384,2
"1070",8,4,"2013-Q4",9,2
"1113",11,2,"2013-Q4",83,2
"1156",11,3,"2013-Q4",-88,2
"1199",11,4,"2013-Q4",-39,2
"1242",11,6,"2013-Q4",-8,2
"1285",14,1,"2013-Q4",-23,2
"1328",14,3,"2013-Q4",101,2
