"","from","to","time","flow","type"
"33",1,7,"2012-Q3",-67,1
"76",1,8,"2012-Q3",4,1
"119",1,11,"2012-Q3",16,1
"162",1,14,"2012-Q3",-3,1
"205",2,7,"2012-Q3",-13,1
"248",2,12,"2012-Q3",2,1
"291",3,7,"2012-Q3",41,1
"334",3,8,"2012-Q3",177,1
"377",3,11,"2012-Q3",140,1
"420",3,14,"2012-Q3",23,1
"463",4,7,"2012-Q3",-11,1
"506",4,8,"2012-Q3",48,1
"549",4,12,"2012-Q3",21,1
"592",4,14,"2012-Q3",-3,1
"635",6,7,"2012-Q3",-10,1
"678",6,8,"2012-Q3",-2,1
"721",6,12,"2012-Q3",25,1
"764",6,14,"2012-Q3",-10,1
"807",7,1,"2012-Q3",-5,2
"850",7,2,"2012-Q3",18,2
"893",7,3,"2012-Q3",-109,2
"936",7,4,"2012-Q3",36,2
"979",8,1,"2012-Q3",2,2
"1022",8,3,"2012-Q3",189,2
"1065",8,4,"2012-Q3",38,2
"1108",11,2,"2012-Q3",-11,2
"1151",11,3,"2012-Q3",120,2
"1194",11,4,"2012-Q3",26,2
"1237",11,6,"2012-Q3",-10,2
"1280",14,1,"2012-Q3",-23,2
"1323",14,3,"2012-Q3",58,2
