"","from","to","time","flow","type"
"26",1,7,"2010-Q4",-184,1
"69",1,8,"2010-Q4",22,1
"112",1,11,"2010-Q4",176,1
"155",1,14,"2010-Q4",-11,1
"198",2,7,"2010-Q4",129,1
"241",2,12,"2010-Q4",23,1
"284",3,7,"2010-Q4",-86,1
"327",3,8,"2010-Q4",190,1
"370",3,11,"2010-Q4",159,1
"413",3,14,"2010-Q4",28,1
"456",4,7,"2010-Q4",5,1
"499",4,8,"2010-Q4",81,1
"542",4,12,"2010-Q4",42,1
"585",4,14,"2010-Q4",-5,1
"628",6,7,"2010-Q4",-6,1
"671",6,8,"2010-Q4",18,1
"714",6,12,"2010-Q4",38,1
"757",6,14,"2010-Q4",-20,1
"800",7,1,"2010-Q4",-73,2
"843",7,2,"2010-Q4",107,2
"886",7,3,"2010-Q4",-60,2
"929",7,4,"2010-Q4",-2,2
"972",8,1,"2010-Q4",61,2
"1015",8,3,"2010-Q4",142,2
"1058",8,4,"2010-Q4",94,2
"1101",11,2,"2010-Q4",200,2
"1144",11,3,"2010-Q4",49,2
"1187",11,4,"2010-Q4",37,2
"1230",11,6,"2010-Q4",39,2
"1273",14,1,"2010-Q4",-35,2
"1316",14,3,"2010-Q4",64,2
