"","from","to","time","flow","type"
"20",1,7,"2009-Q2",189,1
"63",1,8,"2009-Q2",38,1
"106",1,11,"2009-Q2",77,1
"149",1,14,"2009-Q2",-5,1
"192",2,7,"2009-Q2",17,1
"235",2,12,"2009-Q2",22,1
"278",3,7,"2009-Q2",307,1
"321",3,8,"2009-Q2",216,1
"364",3,11,"2009-Q2",57,1
"407",3,14,"2009-Q2",59,1
"450",4,7,"2009-Q2",-8,1
"493",4,8,"2009-Q2",21,1
"536",4,12,"2009-Q2",25,1
"579",4,14,"2009-Q2",6,1
"622",6,7,"2009-Q2",1,1
"665",6,8,"2009-Q2",19,1
"708",6,12,"2009-Q2",45,1
"751",6,14,"2009-Q2",-21,1
"794",7,1,"2009-Q2",43,2
"837",7,2,"2009-Q2",205,2
"880",7,3,"2009-Q2",130,2
"923",7,4,"2009-Q2",36,2
"966",8,1,"2009-Q2",36,2
"1009",8,3,"2009-Q2",181,2
"1052",8,4,"2009-Q2",71,2
"1095",11,2,"2009-Q2",34,2
"1138",11,3,"2009-Q2",-27,2
"1181",11,4,"2009-Q2",-8,2
"1224",11,6,"2009-Q2",44,2
"1267",14,1,"2009-Q2",-22,2
"1310",14,3,"2009-Q2",95,2
