"","from","to","time","flow","type"
"18",1,7,"2008-Q4",277,1
"61",1,8,"2008-Q4",-35,1
"104",1,11,"2008-Q4",-122,1
"147",1,14,"2008-Q4",-19,1
"190",2,7,"2008-Q4",37,1
"233",2,12,"2008-Q4",26,1
"276",3,7,"2008-Q4",125,1
"319",3,8,"2008-Q4",54,1
"362",3,11,"2008-Q4",-125,1
"405",3,14,"2008-Q4",-44,1
"448",4,7,"2008-Q4",5,1
"491",4,8,"2008-Q4",95,1
"534",4,12,"2008-Q4",71,1
"577",4,14,"2008-Q4",-21,1
"620",6,7,"2008-Q4",-33,1
"663",6,8,"2008-Q4",17,1
"706",6,12,"2008-Q4",56,1
"749",6,14,"2008-Q4",-19,1
"792",7,1,"2008-Q4",-70,2
"835",7,2,"2008-Q4",227,2
"878",7,3,"2008-Q4",103,2
"921",7,4,"2008-Q4",16,2
"964",8,1,"2008-Q4",28,2
"1007",8,3,"2008-Q4",187,2
"1050",8,4,"2008-Q4",78,2
"1093",11,2,"2008-Q4",46,2
"1136",11,3,"2008-Q4",-50,2
"1179",11,4,"2008-Q4",42,2
"1222",11,6,"2008-Q4",32,2
"1265",14,1,"2008-Q4",-5,2
"1308",14,3,"2008-Q4",-194,2
