"","from","to","time","flow","type"
"3",0,7,"2015-Q2",186,1
"44",1,7,"2015-Q2",27,1
"87",1,8,"2015-Q2",9,1
"130",1,11,"2015-Q2",35,1
"173",1,14,"2015-Q2",3,1
"216",2,7,"2015-Q2",-2,1
"259",2,12,"2015-Q2",-3,1
"302",3,7,"2015-Q2",46,1
"345",3,8,"2015-Q2",29,1
"388",3,11,"2015-Q2",12,1
"431",3,14,"2015-Q2",107,1
"474",4,7,"2015-Q2",-1,1
"517",4,8,"2015-Q2",42,1
"560",4,12,"2015-Q2",42,1
"603",4,14,"2015-Q2",0,1
"646",6,7,"2015-Q2",-41,1
"689",6,8,"2015-Q2",-2,1
"732",6,12,"2015-Q2",21,1
"775",6,14,"2015-Q2",38,1
"818",7,1,"2015-Q2",-132,2
"861",7,2,"2015-Q2",57,2
"904",7,3,"2015-Q2",-102,2
"947",7,4,"2015-Q2",2,2
"990",8,1,"2015-Q2",-10,2
"1033",8,3,"2015-Q2",-74,2
"1076",8,4,"2015-Q2",92,2
"1119",11,2,"2015-Q2",-35,2
"1162",11,3,"2015-Q2",-76,2
"1205",11,4,"2015-Q2",49,2
"1248",11,6,"2015-Q2",36,2
"1291",14,1,"2015-Q2",-39,2
"1334",14,3,"2015-Q2",170,2
