"","from","to","time","flow","type"
"17",1,7,"2014-Q3",-49,1
"36",1,8,"2014-Q3",25,1
"55",1,11,"2014-Q3",8,1
"74",1,14,"2014-Q3",3,1
"93",2,7,"2014-Q3",-21,1
"112",2,12,"2014-Q3",-2,1
"131",3,7,"2014-Q3",135,1
"150",3,8,"2014-Q3",81,1
"169",3,11,"2014-Q3",18,1
"188",3,14,"2014-Q3",89,1
"207",4,7,"2014-Q3",-3,1
"226",4,8,"2014-Q3",81,1
"245",4,12,"2014-Q3",27,1
"264",4,14,"2014-Q3",0,1
"283",6,7,"2014-Q3",-68,1
"302",6,8,"2014-Q3",4,1
"321",6,12,"2014-Q3",20,1
"340",6,14,"2014-Q3",33,1
"359",7,1,"2014-Q3",-77,2
"378",7,2,"2014-Q3",-38,2
"397",7,3,"2014-Q3",-34,2
"416",7,4,"2014-Q3",15,2
"435",8,1,"2014-Q3",23,2
"454",8,3,"2014-Q3",68,2
"473",8,4,"2014-Q3",57,2
"492",11,2,"2014-Q3",15,2
"511",11,3,"2014-Q3",30,2
"530",11,4,"2014-Q3",-36,2
"549",11,6,"2014-Q3",1,2
"568",14,1,"2014-Q3",13,2
"587",14,3,"2014-Q3",171,2
