"","from","to","time","flow","type"
"31",1,7,"2012-Q1",261,1
"74",1,8,"2012-Q1",22,1
"117",1,11,"2012-Q1",21,1
"160",1,14,"2012-Q1",-2,1
"203",2,7,"2012-Q1",-15,1
"246",2,12,"2012-Q1",0,1
"289",3,7,"2012-Q1",416,1
"332",3,8,"2012-Q1",171,1
"375",3,11,"2012-Q1",163,1
"418",3,14,"2012-Q1",58,1
"461",4,7,"2012-Q1",-3,1
"504",4,8,"2012-Q1",80,1
"547",4,12,"2012-Q1",26,1
"590",4,14,"2012-Q1",-6,1
"633",6,7,"2012-Q1",-14,1
"676",6,8,"2012-Q1",14,1
"719",6,12,"2012-Q1",19,1
"762",6,14,"2012-Q1",10,1
"805",7,1,"2012-Q1",83,2
"848",7,2,"2012-Q1",148,2
"891",7,3,"2012-Q1",91,2
"934",7,4,"2012-Q1",41,2
"977",8,1,"2012-Q1",8,2
"1020",8,3,"2012-Q1",150,2
"1063",8,4,"2012-Q1",87,2
"1106",11,2,"2012-Q1",89,2
"1149",11,3,"2012-Q1",129,2
"1192",11,4,"2012-Q1",64,2
"1235",11,6,"2012-Q1",-15,2
"1278",14,1,"2012-Q1",28,2
"1321",14,3,"2012-Q1",124,2
